Epoch 114, Data Loss: 0.8729807734489441, Physics Loss: 9.821700096130371, Total Loss: 1.855150818824768, time: 4.81 seconds
Epoch 115, Data Loss: 0.8717911243438721, Physics Loss: 9.826261520385742, Total Loss: 1.854417324066162, time: 4.99 seconds
Epoch 116, Data Loss: 0.8706114888191223, Physics Loss: 9.831202507019043, Total Loss: 1.8537317514419556, time: 5.00 seconds
Epoch 117, Data Loss: 0.8695092797279358, Physics Loss: 9.835890769958496, Total Loss: 1.8530983924865723, time: 4.80 seconds
Epoch 118, Data Loss: 0.8685263991355896, Physics Loss: 9.839770317077637, Total Loss: 1.8525034189224243, time: 4.84 seconds
Epoch 119, Data Loss: 0.8676783442497253, Physics Loss: 9.842432975769043, Total Loss: 1.8519216775894165, time: 4.96 seconds
Epoch 120, Data Loss: 0.8669624924659729, Physics Loss: 9.843661308288574, Total Loss: 1.8513286113739014, time: 4.86 seconds
Epoch 121, Data Loss: 0.8663749098777771, Physics Loss: 9.843435287475586, Total Loss: 1.8507184982299805, time: 4.80 seconds
Epoch 122, Data Loss: 0.8659023642539978, Physics Loss: 9.841923713684082, Total Loss: 1.8500947952270508, time: 4.82 seconds
Epoch 123, Data Loss: 0.8655283451080322, Physics Loss: 9.839451789855957, Total Loss: 1.849473476409912, time: 4.98 seconds
Epoch 124, Data Loss: 0.8652205467224121, Physics Loss: 9.836444854736328, Total Loss: 1.848865032196045, time: 4.79 seconds
Epoch 125, Data Loss: 0.8649444580078125, Physics Loss: 9.833344459533691, Total Loss: 1.8482789993286133, time: 4.88 seconds
Epoch 126, Data Loss: 0.864655613899231, Physics Loss: 9.830567359924316, Total Loss: 1.8477122783660889, time: 5.00 seconds
Epoch 127, Data Loss: 0.8643121123313904, Physics Loss: 9.828453063964844, Total Loss: 1.8471574783325195, time: 4.86 seconds
Epoch 128, Data Loss: 0.8638797998428345, Physics Loss: 9.827220916748047, Total Loss: 1.846601963043213, time: 4.91 seconds
Epoch 129, Data Loss: 0.8633410930633545, Physics Loss: 9.826960563659668, Total Loss: 1.8460371494293213, time: 4.93 seconds
Epoch 130, Data Loss: 0.8626998066902161, Physics Loss: 9.82762622833252, Total Loss: 1.845462441444397, time: 4.94 seconds
Epoch 131, Data Loss: 0.8619778752326965, Physics Loss: 9.829052925109863, Total Loss: 1.8448832035064697, time: 4.83 seconds
Epoch 132, Data Loss: 0.8612059354782104, Physics Loss: 9.83099365234375, Total Loss: 1.8443052768707275, time: 4.69 seconds
Epoch 133, Data Loss: 0.8604196906089783, Physics Loss: 9.83314037322998, Total Loss: 1.843733787536621, time: 4.51 seconds
Epoch 134, Data Loss: 0.8596512675285339, Physics Loss: 9.83519458770752, Total Loss: 1.8431707620620728, time: 4.59 seconds
Epoch 135, Data Loss: 0.858924388885498, Physics Loss: 9.83689022064209, Total Loss: 1.8426134586334229, time: 4.53 seconds
Epoch 136, Data Loss: 0.8582538962364197, Physics Loss: 9.838031768798828, Total Loss: 1.8420571088790894, time: 4.43 seconds
Epoch 137, Data Loss: 0.8576452136039734, Physics Loss: 9.838516235351562, Total Loss: 1.8414968252182007, time: 4.44 seconds
Epoch 138, Data Loss: 0.8570963740348816, Physics Loss: 9.838342666625977, Total Loss: 1.840930700302124, time: 5.94 seconds
Epoch 139, Data Loss: 0.856600821018219, Physics Loss: 9.837594032287598, Total Loss: 1.840360164642334, time: 4.52 seconds
Epoch 140, Data Loss: 0.8561459183692932, Physics Loss: 9.836429595947266, Total Loss: 1.8397889137268066, time: 4.51 seconds
Epoch 141, Data Loss: 0.8557138442993164, Physics Loss: 9.835055351257324, Total Loss: 1.839219331741333, time: 5.79 seconds
Epoch 142, Data Loss: 0.8552846312522888, Physics Loss: 9.833685874938965, Total Loss: 1.8386532068252563, time: 4.66 seconds
Epoch 143, Data Loss: 0.854837954044342, Physics Loss: 9.832515716552734, Total Loss: 1.8380894660949707, time: 4.61 seconds
Epoch 144, Data Loss: 0.854357123374939, Physics Loss: 9.831692695617676, Total Loss: 1.8375263214111328, time: 5.46 seconds
Epoch 145, Data Loss: 0.8538312911987305, Physics Loss: 9.831302642822266, Total Loss: 1.8369615077972412, time: 5.01 seconds
Epoch 146, Data Loss: 0.8532583713531494, Physics Loss: 9.831364631652832, Total Loss: 1.8363947868347168, time: 4.55 seconds
Epoch 147, Data Loss: 0.8526430726051331, Physics Loss: 9.831830024719238, Total Loss: 1.8358261585235596, time: 5.23 seconds
Epoch 148, Data Loss: 0.8519961833953857, Physics Loss: 9.832598686218262, Total Loss: 1.8352560997009277, time: 5.94 seconds
Epoch 149, Data Loss: 0.8513338565826416, Physics Loss: 9.83353042602539, Total Loss: 1.8346869945526123, time: 4.89 seconds
Epoch 150, Data Loss: 0.8506720662117004, Physics Loss: 9.83447551727295, Total Loss: 1.8341195583343506, time: 4.95 seconds
Epoch 151, Data Loss: 0.8500236868858337, Physics Loss: 9.835297584533691, Total Loss: 1.833553433418274, time: 4.93 seconds
Epoch 152, Data Loss: 0.8493985533714294, Physics Loss: 9.83588981628418, Total Loss: 1.8329875469207764, time: 4.72 seconds
Epoch 153, Data Loss: 0.8488019704818726, Physics Loss: 9.836189270019531, Total Loss: 1.832420825958252, time: 4.87 seconds
Epoch 154, Data Loss: 0.8482347726821899, Physics Loss: 9.836182594299316, Total Loss: 1.8318530321121216, time: 4.81 seconds
Epoch 155, Data Loss: 0.847693920135498, Physics Loss: 9.835901260375977, Total Loss: 1.8312840461730957, time: 4.82 seconds
Epoch 156, Data Loss: 0.8471729159355164, Physics Loss: 9.835415840148926, Total Loss: 1.830714464187622, time: 4.93 seconds
Epoch 157, Data Loss: 0.8466630578041077, Physics Loss: 9.834818840026855, Total Loss: 1.8301448822021484, time: 4.84 seconds
Epoch 158, Data Loss: 0.8461544513702393, Physics Loss: 9.834210395812988, Total Loss: 1.829575538635254, time: 4.80 seconds
Epoch 159, Data Loss: 0.8456376194953918, Physics Loss: 9.833685874938965, Total Loss: 1.8290061950683594, time: 4.89 seconds
Epoch 160, Data Loss: 0.8451050519943237, Physics Loss: 9.833316802978516, Total Loss: 1.8284367322921753, time: 4.79 seconds
Epoch 161, Data Loss: 0.8445520997047424, Physics Loss: 9.833148002624512, Total Loss: 1.8278669118881226, time: 4.82 seconds
Epoch 162, Data Loss: 0.8439776301383972, Physics Loss: 9.833183288574219, Total Loss: 1.8272960186004639, time: 4.70 seconds
Epoch 163, Data Loss: 0.8433840274810791, Physics Loss: 9.833405494689941, Total Loss: 1.8267245292663574, time: 4.86 seconds
Epoch 164, Data Loss: 0.8427759408950806, Physics Loss: 9.83376693725586, Total Loss: 1.8261525630950928, time: 4.88 seconds
