Epoch 118, Data Loss: 0.0013865072978660464, Physics Loss: 10.960758209228516, Total Loss: 1.0974624156951904, time: 0.45 seconds
Epoch 119, Data Loss: 0.0013850884279236197, Physics Loss: 10.960758209228516, Total Loss: 1.0974609851837158, time: 0.44 seconds
Epoch 120, Data Loss: 0.001383514958433807, Physics Loss: 10.960758209228516, Total Loss: 1.0974594354629517, time: 0.45 seconds
Epoch 121, Data Loss: 0.0013818867737427354, Physics Loss: 10.960758209228516, Total Loss: 1.097457766532898, time: 0.44 seconds
Epoch 122, Data Loss: 0.0013803113251924515, Physics Loss: 10.960758209228516, Total Loss: 1.0974562168121338, time: 0.45 seconds
Epoch 123, Data Loss: 0.0013788380892947316, Physics Loss: 10.960758209228516, Total Loss: 1.0974547863006592, time: 0.47 seconds
Epoch 124, Data Loss: 0.0013774442486464977, Physics Loss: 10.960758209228516, Total Loss: 1.0974533557891846, time: 0.44 seconds
Epoch 125, Data Loss: 0.0013760441215708852, Physics Loss: 10.960758209228516, Total Loss: 1.09745192527771, time: 0.48 seconds
Epoch 126, Data Loss: 0.0013745642499998212, Physics Loss: 10.960758209228516, Total Loss: 1.0974504947662354, time: 0.45 seconds
Epoch 127, Data Loss: 0.0013729608617722988, Physics Loss: 10.960758209228516, Total Loss: 1.0974488258361816, time: 0.45 seconds
Epoch 128, Data Loss: 0.0013712604995816946, Physics Loss: 10.960758209228516, Total Loss: 1.097447156906128, time: 0.44 seconds
Epoch 129, Data Loss: 0.001369534875266254, Physics Loss: 10.960758209228516, Total Loss: 1.0974453687667847, time: 0.46 seconds
Epoch 130, Data Loss: 0.0013678694376721978, Physics Loss: 10.960758209228516, Total Loss: 1.0974438190460205, time: 0.44 seconds
Epoch 131, Data Loss: 0.0013663192512467504, Physics Loss: 10.960758209228516, Total Loss: 1.0974422693252563, time: 0.45 seconds
Epoch 132, Data Loss: 0.0013649009633809328, Physics Loss: 10.960758209228516, Total Loss: 1.0974408388137817, time: 0.44 seconds
Epoch 133, Data Loss: 0.001363589079119265, Physics Loss: 10.960758209228516, Total Loss: 1.0974395275115967, time: 0.44 seconds
Epoch 134, Data Loss: 0.0013623422710224986, Physics Loss: 10.960758209228516, Total Loss: 1.0974382162094116, time: 0.45 seconds
Epoch 135, Data Loss: 0.001361124450340867, Physics Loss: 10.960758209228516, Total Loss: 1.0974370241165161, time: 0.44 seconds
Epoch 136, Data Loss: 0.0013599275844171643, Physics Loss: 10.960758209228516, Total Loss: 1.0974358320236206, time: 0.58 seconds
Epoch 137, Data Loss: 0.0013587659923359752, Physics Loss: 10.960758209228516, Total Loss: 1.097434639930725, time: 0.44 seconds
Epoch 138, Data Loss: 0.0013576616765931249, Physics Loss: 10.960758209228516, Total Loss: 1.0974335670471191, time: 0.47 seconds
Epoch 139, Data Loss: 0.0013566301204264164, Physics Loss: 10.960758209228516, Total Loss: 1.0974324941635132, time: 0.44 seconds
Epoch 140, Data Loss: 0.0013556682970374823, Physics Loss: 10.960758209228516, Total Loss: 1.0974315404891968, time: 0.44 seconds
Epoch 141, Data Loss: 0.0013547593262046576, Physics Loss: 10.960758209228516, Total Loss: 1.09743070602417, time: 0.44 seconds
Epoch 142, Data Loss: 0.0013538795756176114, Physics Loss: 10.960758209228516, Total Loss: 1.0974297523498535, time: 0.45 seconds
Epoch 143, Data Loss: 0.001353012747131288, Physics Loss: 10.960758209228516, Total Loss: 1.0974289178848267, time: 0.47 seconds
Epoch 144, Data Loss: 0.0013521512737497687, Physics Loss: 10.960758209228516, Total Loss: 1.0974280834197998, time: 0.45 seconds
Epoch 145, Data Loss: 0.001351302838884294, Physics Loss: 10.960758209228516, Total Loss: 1.097427248954773, time: 0.65 seconds
Epoch 146, Data Loss: 0.001350477454252541, Physics Loss: 10.960758209228516, Total Loss: 1.097426414489746, time: 0.44 seconds
Epoch 147, Data Loss: 0.001349682337604463, Physics Loss: 10.960758209228516, Total Loss: 1.0974255800247192, time: 0.45 seconds
Epoch 148, Data Loss: 0.0013489150442183018, Physics Loss: 10.960758209228516, Total Loss: 1.097424864768982, time: 0.52 seconds
Epoch 149, Data Loss: 0.0013481666101142764, Physics Loss: 10.960758209228516, Total Loss: 1.097424030303955, time: 0.44 seconds
Epoch 150, Data Loss: 0.0013474266743287444, Physics Loss: 10.960758209228516, Total Loss: 1.0974233150482178, time: 0.44 seconds
Epoch 151, Data Loss: 0.0013466873206198215, Physics Loss: 10.960758209228516, Total Loss: 1.0974225997924805, time: 0.44 seconds
Epoch 152, Data Loss: 0.0013459481997415423, Physics Loss: 10.960758209228516, Total Loss: 1.0974218845367432, time: 0.44 seconds
Epoch 153, Data Loss: 0.0013452130369842052, Physics Loss: 10.960758209228516, Total Loss: 1.0974210500717163, time: 0.44 seconds
Epoch 154, Data Loss: 0.0013444873038679361, Physics Loss: 10.960758209228516, Total Loss: 1.097420334815979, time: 0.44 seconds
Epoch 155, Data Loss: 0.0013437782181426883, Physics Loss: 10.960758209228516, Total Loss: 1.0974196195602417, time: 0.48 seconds
Epoch 156, Data Loss: 0.0013430877588689327, Physics Loss: 10.960758209228516, Total Loss: 1.097419023513794, time: 0.44 seconds
Epoch 157, Data Loss: 0.0013424138305708766, Physics Loss: 10.960758209228516, Total Loss: 1.0974183082580566, time: 0.50 seconds
Epoch 158, Data Loss: 0.0013417508453130722, Physics Loss: 10.960758209228516, Total Loss: 1.0974175930023193, time: 0.45 seconds
Epoch 159, Data Loss: 0.0013410963583737612, Physics Loss: 10.960758209228516, Total Loss: 1.0974169969558716, time: 0.44 seconds
Epoch 160, Data Loss: 0.0013404508354142308, Physics Loss: 10.960758209228516, Total Loss: 1.0974164009094238, time: 0.45 seconds
Epoch 161, Data Loss: 0.0013398174196481705, Physics Loss: 10.960758209228516, Total Loss: 1.0974156856536865, time: 0.80 seconds
Epoch 162, Data Loss: 0.0013391991378739476, Physics Loss: 10.960758209228516, Total Loss: 1.0974150896072388, time: 0.44 seconds
Epoch 163, Data Loss: 0.0013385971542447805, Physics Loss: 10.960758209228516, Total Loss: 1.097414493560791, time: 0.44 seconds
Epoch 164, Data Loss: 0.0013380100717768073, Physics Loss: 10.960758209228516, Total Loss: 1.0974138975143433, time: 0.44 seconds
Epoch 165, Data Loss: 0.001337436493486166, Physics Loss: 10.960758209228516, Total Loss: 1.0974133014678955, time: 0.45 seconds
Epoch 166, Data Loss: 0.001336873508989811, Physics Loss: 10.960758209228516, Total Loss: 1.0974128246307373, time: 0.44 seconds
Epoch 167, Data Loss: 0.0013363197213038802, Physics Loss: 10.960758209228516, Total Loss: 1.0974122285842896, time: 0.44 seconds
Epoch 168, Data Loss: 0.0013357745483517647, Physics Loss: 10.960758209228516, Total Loss: 1.0974116325378418, time: 0.44 seconds
Epoch 169, Data Loss: 0.0013352386886253953, Physics Loss: 10.960758209228516, Total Loss: 1.0974111557006836, time: 0.44 seconds
Epoch 170, Data Loss: 0.0013347140047699213, Physics Loss: 10.960758209228516, Total Loss: 1.0974105596542358, time: 0.44 seconds
Epoch 171, Data Loss: 0.0013342011952772737, Physics Loss: 10.960758209228516, Total Loss: 1.0974100828170776, time: 0.44 seconds
Epoch 172, Data Loss: 0.0013336972333490849, Physics Loss: 10.960758209228516, Total Loss: 1.0974096059799194, time: 0.44 seconds
Epoch 173, Data Loss: 0.0013332013040781021, Physics Loss: 10.960758209228516, Total Loss: 1.0974091291427612, time: 0.67 seconds
Epoch 174, Data Loss: 0.0013327117776498199, Physics Loss: 10.960758209228516, Total Loss: 1.097408652305603, time: 0.44 seconds
Epoch 175, Data Loss: 0.001332228071987629, Physics Loss: 10.960758209228516, Total Loss: 1.0974081754684448, time: 0.44 seconds
Epoch 176, Data Loss: 0.0013317512348294258, Physics Loss: 10.960758209228516, Total Loss: 1.0974076986312866, time: 0.45 seconds
